TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 1716804, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 2575206, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 750299, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 1127534, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 824399, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 401293, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 4039237, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 642518, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 502980, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 2145043, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 1239166, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 1152876, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 1169556, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 8417535, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 1988503, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 7413500, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 1944235, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 739714, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 431125, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 1616080, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 336817, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 885668, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 1001789, true, No Error, 
